,0
0,0.45000000298023224
1,0.7483443716503927
2,0.7350993361694134
3,0.7483443637557378
4,0.6754966887417219
5,0.7483443724398582
6,0.69536424472632
7,0.6821192033243495
8,0.7218543070041581
9,0.6937499940395355
10,0.7417218673308164
11,0.7483443767819183
12,0.6887417163280461
13,0.6887417163280461
14,0.7218542963463739
15,0.7350993389325426
16,0.7483443724398582
17,0.682119204113815
18,0.71875
19,0.7152317888689357
20,0.7814569437740654
21,0.6887417171175116
22,0.7284768172447255
23,0.8145695352396428
24,0.6887417212622056
25,0.7748344333361317
26,0.728476818034191
27,0.7562500014901161
28,0.7880794705934082
29,0.7152317817637462
30,0.7218542963463739
31,0.7350993298536894
32,0.6225165547124597
33,0.7152317817637462
34,0.668874169817034
35,0.7152317896584012
36,0.7312500029802322
37,0.7417218665413509
38,0.7350993482087622
39,0.6821191938507636
40,0.6953642324896048
41,0.7947019879391651
42,0.7549669036012612
43,0.6688741591592499
44,0.7417218594361614
45,0.768211931977051
46,0.7350993440640683
47,0.7437499985098839
48,0.7417218543046358
49,0.7947019942548891
50,0.6622516477344841
51,0.7350993361694134
52,0.7814569603528408
53,0.715231786895272
54,0.7350993361694134
55,0.7350993361694134
56,0.7375000044703484
57,0.7615894087103029
58,0.7086092707337133
59,0.7682119189508704
60,0.7152317924215305
61,0.7483443688872634
62,0.7350993361694134
63,0.7483443716503927
64,0.7417218535151703
65,0.7249999940395355
66,0.7615894138418287
67,0.7615894059471736
68,0.7549668870224858
69,0.695364243147389
