,0
0,0.4547756230622007
1,0.35478662903857444
2,0.3061725855598935
3,0.26827953274534866
4,0.2821382183284886
5,0.2509926042593686
6,0.2520069053347132
7,0.24020494533851083
8,0.25028548600663125
9,0.2304120827960757
10,0.21879062808192937
11,0.23358782219280183
12,0.22492993006532172
13,0.2062312053038483
14,0.2471472185797396
15,0.23008342568589524
16,0.2203833453225351
17,0.18878564764374653
18,0.25022535105194665
19,0.18918741517494211
20,0.21245540986744177
21,0.2119741131905961
22,0.178096118127614
23,0.19209580993757838
24,0.20905220106375955
25,0.23015422634450736
26,0.1702339941948916
27,0.20931891141772535
28,0.21003788834915751
29,0.20897686263892504
30,0.17238943475768365
31,0.20808286409396515
32,0.2149462032799436
33,0.18130516028443797
34,0.17970657211819055
35,0.17884686487042797
36,0.19135640895373263
37,0.2264735788865163
38,0.1538584769695206
39,0.2222658879725279
40,0.1858301507556333
41,0.1688624850672101
42,0.18611788307934735
43,0.19639459104005214
44,0.2129679480155485
45,0.17520303542898819
46,0.2237165892018681
47,0.16093739051272912
48,0.21190727831779327
49,0.16931087073696927
50,0.1991074476391077
51,0.19354977722452804
52,0.18907135382162787
53,0.19425805898762383
54,0.2125992353972608
55,0.19274937385380003
56,0.16068024204763692
57,0.22010496629616327
58,0.16918921948666066
59,0.19011937383463426
60,0.20923760011627346
61,0.1904889662642922
62,0.1887112728328304
63,0.18656035634664309
64,0.19355219348325534
65,0.18496012901969716
66,0.193418974452446
67,0.19393144811676666
68,0.19363144117580577
69,0.19102610621535987
70,0.18849848787737103
71,0.1952098086476326
72,0.19815607724991519
73,0.18004417721907387
74,0.20313885334912127
75,0.1921878723444137
76,0.18816353431779198
