,0
0,14.098876476287842
1,8.89108134894971
2,6.813081981330518
3,5.649756156845598
4,5.9130819428046015
5,4.678820385838186
6,5.101953778045856
7,4.9293709732838815
8,4.549273838270579
9,4.913031369447708
10,3.9064875217463007
11,4.5500564322566355
12,4.674523991464779
13,4.439272924764267
14,4.542061587832621
15,3.6900438441346024
16,3.5249376928569465
17,3.689066620851984
18,3.6462787985801697
19,3.3322399436243324
20,2.87754817356337
21,3.381031064797711
22,3.534405329369551
23,2.1278108516276277
24,3.435288031369645
25,2.462651206957583
26,3.4065525515979487
27,2.8778598085045815
28,2.4795358883624044
29,2.841481415641229
30,3.3069172679193763
31,2.458629970716325
32,3.4253196463679636
33,2.7391995246836682
34,3.805757017325092
35,3.130080240451737
36,3.0934055894613266
37,2.476116204103887
38,2.5277841675360473
39,2.0749365525529875
40,2.098871066574229
41,1.3066380197638707
42,1.8239409236718487
43,2.4745916586048557
44,1.7210031256375724
45,1.6719073477565058
46,1.8159697624231805
47,1.8139763474464417
48,1.715800986384714
49,1.5519155934946427
50,2.1926316188660677
51,1.8202929346766692
52,1.2357521574228805
53,1.9754835544832494
54,1.814418795093006
55,1.5211406989602854
56,1.6275551095604897
57,1.5342490688854495
58,1.7819963709408084
59,1.6123906018718188
60,1.4214144100416575
61,1.6431546598080768
62,1.6982972164027739
63,1.4502839347384624
64,1.5346721916009258
65,1.5964351370930672
66,1.3767253985468126
67,1.5755968429394904
68,1.2989588841697237
69,1.7433615022937194
